1998;A;PJACA;Juventus;4
380;A;MATRI;Brescia;4
1839;A;EDERA;Torino;4
2468;P;OSPINA;Napoli;3
47;D;GASTALDELLO;Brescia;3
4374;D;WALUKIEWICZ;Cagliari;3
2664;D;EL YAMIQ;Genoa;3
254;D;DIMARCO;Inter;3
261;D;RANOCCHIA;Inter;3
1999;D;LUKAKU J;Lazio;3
393;D;LUPERTO;Napoli;3
262;D;SANTON;Roma;3
824;D;ADJAPONG;Verona;3
491;D;SALAMON;SPAL;3
4495;D;KUMBULLA;Verona;3
1858;C;KREJCI;Bologna;3
2744;C;SVANBERG;Bologna;3
4327;C;OLIVA;Cagliari;3
2075;C;CRISTOFORO;Fiorentina;3
2659;C;DABO;Fiorentina;3
172;C;BORJA VALERO;Inter;3
4476;C;TABANELLI;Lecce;3
2855;C;VIEIRA;Sampdoria;3
4338;C;JANKOVIC;SPAL;3
611;P;RAFAEL;Cagliari;2
4331;D;IBANEZ;Atalanta;2
4443;D;CURCIO;Brescia;2
4444;D;SEMPRINI;Brescia;2
4454;D;PINNA;Cagliari;2
2752;D;RASMUSSEN;Fiorentina;2
2772;D;DURMISI;Lazio;2
4467;D;JORGE SILVA;Lazio;2
327;D;PATRIC;Lazio;2
805;D;FIAMOZZI;Lecce;2
4399;D;VERA;Lecce;2
490;D;REGINI;Sampdoria;2
4406;D;TRIPALDELLI;Sassuolo;2
2793;D;OPOKU;Udinese;2
4302;D;SIERRALTA;Udinese;2
4530;D;KYRIAKOPOULOS;Sassuolo;2
4450;C;TREMOLADA;Brescia;2
1871;C;DEIOLA;Cagliari;2
2213;C;CASSATA;Genoa;2
2646;C;SANDRO;Genoa;2
4389;C;ANDERSON A;Lazio;2
1976;C;MAZZITELLI;Sassuolo;2
1982;C;PARIGINI;Torino;2
2726;C;DANZI;Verona;2
4455;A;RAGATZU;Cagliari;2
2048;A;LO FASO;Lecce;2
4507;A;TUTINO;Verona;2
2657;A;ANTONUCCI;Roma;2
2297;P;ROSSI F;Atalanta;1
4;P;SPORTIELLO;Atalanta;1
40;P;DA COSTA;Bologna;1
42;P;SARR M;Bologna;1
4440;P;ALFONSO;Brescia;1
4441;P;ANDRENACCI;Brescia;1
1946;P;ARESTI;Cagliari;1
4351;P;BRANCOLINI;Fiorentina;1
2294;P;CEROFOLINI;Fiorentina;1
2815;P;TERRACCIANO;Fiorentina;1
4325;P;JANDREI;Genoa;1
